ID         |AUTHOR                                 |TITLE                                       |NAME                                                      |SERVICE   |REASON
UQeQepATL_c|Billie Eilish                          |Ocean Eyes (Blackbear Remix)                |Billie Eilish - Ocean Eyes (Blackbear Remix)              |plugDj    |duplicate
7JEsko__zas|Equador                                |Blood (Official Video)                      |Equador - Blood (Official Video)                          |plugDj    |duplicate
nYmAf-LTDwQ|Mathbonus                              |There Is Light In Us                        |Mathbonus - There Is Light In Us                          |plugDj    |duplicate
myL_3BRGsIc|Saux                                   |Coast To Coast (feat. Sadie)                |Saux - Coast To Coast (feat. Sadie)                       |plugDj    |duplicate
jbCVHd9Rutk|Wyldest                                |Cruel Dusk (AZEDIA Remix)                   |Wyldest - Cruel Dusk (AZEDIA Remix)                       |plugDj    |duplicate
pXVuditHT9Q|Bakermat                               |Another Man                                 |Bakermat - Another Man                                    |dubtrackFm|duplicate
R2LQdh42neg|Cigarettes After Sex                   |Nothing's Gonna Hurt You Baby               |Cigarettes After Sex - Nothing's Gonna Hurt You Baby      |dubtrackFm|duplicate
AhgxOj-wh8o|Coma                                   |&quot;My Orbit&quot; (Official Video)       |Coma - &quot;My Orbit&quot; (Official Video)              |dubtrackFm|duplicate
OXuo4omucc0|Daniela Andrade                        |Crazy (Playful Quake Remix)                 |Daniela Andrade - Crazy (Playful Quake Remix)             |dubtrackFm|duplicate
F9AIkWRD1EQ|Danrell X Småland                      |Hostage                                     |Danrell X Småland - Hostage                               |dubtrackFm|duplicate
QYHNqOvNQeg|Deer Stared At Me (Clayjay Remix)      |Tülpa                                       |Deer Stared At Me (Clayjay Remix) - Tülpa                 |dubtrackFm|duplicate
J_w0mIdrI2E|Ellie Goulding                         |Love Me Like You Do (Duck House Remix)      |Ellie Goulding - Love Me Like You Do (Duck House Remix)   |dubtrackFm|duplicate
8ZJ4zDBLTsA|Foner x snwnthstrtyrslydrssd           |                                            |Foner x snwnthstrtyrslydrssd                              |dubtrackFm|duplicate
mRHAi2IIrFA|Golan (feat. Helen)                    |Breathe In | Live Session                   |Golan (feat. Helen) - Breathe In | Live Session           |dubtrackFm|duplicate
AD16VBmNtn8|Henry Green                            |My Number (Beauvois Remix)                  |Henry Green - My Number (Beauvois Remix)                  |dubtrackFm|duplicate
dy2ejaZAZZQ|Henry Green                            |You                                         |Henry Green - You                                         |dubtrackFm|duplicate
y1XeY_fJ9Ds|Kidnap Kid                             |Fall                                        |Kidnap Kid - Fall                                         |dubtrackFm|duplicate
8Gbop-ZLUfA|Low5, T:Base &amp; Jess                |Rollercoaster (Maduk Remix)                 |Low5, T:Base &amp; Jess - Rollercoaster (Maduk Remix)     |dubtrackFm|duplicate
-XqTeZgiipA|Marian Hill                            |One Time                                    |Marian Hill - One Time                                    |dubtrackFm|duplicate
JyM9a-JdRO8|Myst                                   |Everybody lies                              |Myst - Everybody lies                                     |dubtrackFm|duplicate
2RQYQ8v4LEA|Omari T                                |Advent Chant                                |Omari T - Advent Chant                                    |dubtrackFm|duplicate
3dc9EXGrBvk|Owen Ear                               |People Think (Seamless Recordings)          |Owen Ear - People Think (Seamless Recordings)             |dubtrackFm|duplicate
gx4rsZkCCss|Seinabo Sey                            |Younger (Kygo Remix)                        |Seinabo Sey - Younger (Kygo Remix)                        |dubtrackFm|duplicate
hs9TBX9pFEw|Tegan And Sara                         |I Can&apos;t Take It (Matoma Remix)         |Tegan And Sara - I Can&apos;t Take It (Matoma Remix)      |dubtrackFm|duplicate
FxkM6IExfMo|Tinashe                                |Days In The West (Drake Cover) (Ekali Remix)|Tinashe - Days In The West (Drake Cover) (Ekali Remix)    |dubtrackFm|duplicate
8mf2OmfLUH4|Underset                               |Moon Rover (Original Mix)[FULL]             |Underset - Moon Rover (Original Mix)[FULL]                |dubtrackFm|duplicate
OLRovuOleP0|Wafia                                  |Let Me Love You (prod. Thrupence)           |Wafia - Let Me Love You (prod. Thrupence)                 |dubtrackFm|duplicate
205325154  |Monstercat                             |Direct - Memory (feat. Holly Drummond)      |Monstercat - Direct - Memory (feat. Holly Drummond)       |plugDj    |soundcloud
205663786  |Cinetiq                                |3 Glowing Snails                            |Cinetiq - 3 Glowing Snails                                |plugDj    |soundcloud
156000522  |SizzleBird                             |Riverside                                   |SizzleBird - Riverside                                    |plugDj    |soundcloud
219924040  |Glimpse & Madi Larson                  |Redemption In Calm
212710184  |Korqie                                 |We're Around                                |Korqie - We're Around                                     |plugDj    |soundcloud
222938558  |Your Secret                            |Mazde - Battas ft. LissA                    |Your Secret - Mazde - Battas ft. LissA                    |plugDj    |soundcloud
207166993  |ferzrrn                                |Vök - Adrift                                |ferzrrn - Vök - Adrift                                    |plugDj    |soundcloud
171031202  |WAVEBIRD                               |Akua                                        |WAVEBIRD - Akua                                           |plugDj    |soundcloud
314195941  |Koda.                                  |Water U                                     |Koda. - Water U                                           |plugDj    |soundcloud
181077124  |KOSIKK                                 |KOSIKK - Hold Me Tight                      |KOSIKK - KOSIKK - Hold Me Tight                           |plugDj    |soundcloud
257218473  |thisiscarmody                          |Carmody - Skin                              |thisiscarmody - Carmody - Skin                            |plugDj    |soundcloud
268871681  |HIP DOZER                              |Mounika. - I Feel Love                      |HIP DOZER - Mounika. - I Feel Love                        |plugDj    |soundcloud
243469181  |Abby Polhill                           |Nothing Serious                             |Abby Polhill - Nothing Serious                            |plugDj    |soundcloud
278591107  |Dj Hum                                 |Caminhando na Lua                           |Dj Hum - Caminhando na Lua                                |plugDj    |soundcloud
137822054  |imprintafter                           |Lost Without U                              |imprintafter - Lost Without U                             |plugDj    |soundcloud
327038795  |Blackbear                              |Blackbear - I Miss The Old U (Rad Cat Remix)|Blackbear - Blackbear - I Miss The Old U (Rad Cat Remix)  |plugDj    |soundcloud
